nombre,artista,album,url
Outerspace,"BEAUZ, Dallas Rodin",Outerspace,https://open.spotify.com/track/2ChOMSamIbDfZ4lA9yAiRA
oh my !,siopaolo,oh my !,https://open.spotify.com/track/56L9ZhRmzDNI5F65I0HcYS
Isabelle,Zach Hood,Isabelle,https://open.spotify.com/track/1w9L6dvttZalWd8XqFYvSa
24 Hours,charlieonnafriday,WILD CHILD,https://open.spotify.com/track/3A3DQ5jUlKD66MHOw7DdOP
Undecided,charlieonnafriday,WILD CHILD,https://open.spotify.com/track/7zCXMGD7ea3c86h9M87rD2
i'm no good on my own,fawlin,i'm no good on my own,https://open.spotify.com/track/7fULkuxTPdBeAGUeeuEphc
malibu sunsets,"Landon Schafer, Will Ryte",malibu sunsets,https://open.spotify.com/track/3Mr2KoDpV73DRAb7nxF06F
UNSURE,TipToes,UNSURE,https://open.spotify.com/track/6oaRyqTfvlQCRayaeZ4DHh
Losing You,Gryxx,Losing You,https://open.spotify.com/track/0Cxav5r5UbXFL84kOY7sZ1
in the dark,gavn!,in the dark,https://open.spotify.com/track/4U0TNSOGdhUiuah3QNEunk
